"Diet","Cow","week","protein"
"Barley","1","1",3.63
"Barley","2","1",3.24
"Barley","3","1",3.98
"Barley","4","1",3.66
"Barley","5","1",4.34
"Barley","6","1",4.36
"Barley","7","1",4.17
"Barley","8","1",4.4
"Barley","9","1",3.4
"Barley","10","1",3.75
"Mixed","1","1",3.38
"Mixed","2","1",3.8
"Mixed","3","1",4.17
"Mixed","4","1",4.59
"Mixed","5","1",4.07
"Mixed","6","1",4.32
"Mixed","7","1",3.56
"Mixed","8","1",3.67
"Mixed","9","1",4.15
"Mixed","10","1",3.51
"Lupins","1","1",3.69
"Lupins","2","1",4.2
"Lupins","3","1",3.31
"Lupins","4","1",3.13
"Lupins","5","1",3.73
"Lupins","6","1",4.32
"Lupins","7","1",3.04
"Lupins","8","1",3.84
"Lupins","9","1",3.98
"Lupins","10","1",4.18
"Barley","1","2",3.57
"Barley","2","2",3.25
"Barley","3","2",3.6
"Barley","4","2",3.5
"Barley","5","2",3.76
"Barley","6","2",3.71
"Barley","7","2",3.6
"Barley","8","2",3.86
"Barley","9","2",3.42
"Barley","10","2",3.89
"Mixed","1","2",3.38
"Mixed","2","2",3.51
"Mixed","3","2",3.71
"Mixed","4","2",3.86
"Mixed","5","2",3.45
"Mixed","6","2",3.37
"Mixed","7","2",3.14
"Mixed","8","2",3.33
"Mixed","9","2",3.55
"Mixed","10","2",3.9
"Lupins","1","2",3.38
"Lupins","2","2",3.35
"Lupins","3","2",3.04
"Lupins","4","2",3.34
"Lupins","5","2",3.61
"Lupins","6","2",3.7
"Lupins","7","2",2.89
"Lupins","8","2",3.51
"Lupins","9","2",3.3
"Lupins","10","2",4.12
"Barley","1","3",3.47
"Barley","2","3",3.29
"Barley","3","3",3.43
"Barley","4","3",3.05
"Barley","5","3",3.68
"Barley","6","3",3.42
"Barley","7","3",3.52
"Barley","8","3",3.56
"Barley","9","3",3.51
"Barley","10","3",3.65
"Mixed","1","3",3.1
"Mixed","2","3",3.19
"Mixed","3","3",3.32
"Mixed","4","3",3.62
"Mixed","5","3",3.56
"Mixed","6","3",3.47
"Mixed","7","3",3.6
"Mixed","8","3",3.2
"Mixed","9","3",3.27
"Mixed","10","3",2.75
"Lupins","1","3",3
"Lupins","2","3",3.37
"Lupins","3","3",2.8
"Lupins","4","3",3.34
"Lupins","5","3",3.82
"Lupins","6","3",3.62
"Lupins","7","3",2.78
"Lupins","8","3",3.39
"Lupins","9","3",3.02
"Lupins","10","3",3.84
"Barley","1","4",3.65
"Barley","2","4",3.09
"Barley","3","4",3.3
"Barley","4","4",2.9
"Barley","5","4",3.51
"Barley","6","4",3.95
"Barley","7","4",3.1
"Barley","8","4",3.32
"Barley","9","4",3.39
"Barley","10","4",3.42
"Mixed","1","4",3.09
"Mixed","2","4",3.11
"Mixed","3","4",3.1
"Mixed","4","4",3.6
"Mixed","5","4",3.1
"Mixed","6","4",3.46
"Mixed","7","4",3.36
"Mixed","8","4",2.72
"Mixed","9","4",3.27
"Mixed","10","4",3.37
"Lupins","1","4",3.5
"Lupins","2","4",3.07
"Lupins","3","4",3.17
"Lupins","4","4",3.25
"Lupins","5","4",3.61
"Lupins","6","4",3.5
"Lupins","7","4",2.84
"Lupins","8","4",2.88
"Lupins","9","4",2.99
"Lupins","10","4",3.65
